0,Nepali rupees hits new low. US dollar crosses Rs. 110 mark  1 USD = NPR 109.44/110.04
0, Sue buys USDNPR 100.8: Nepal Reopens Historic Sites Ravaged by Earthquakes  Raising Safety Concerns �Nepal’s De� http://ift.tt/1DxV2w4
0, Danika sells USDNPR 100.36: Indian among those arrested for trafficking girls in Nepal �KATHMANDU: The Nepalese p� http://ift.tt/1U6APYL
0, Terisa sells USDNPR 100.59: Tibetan admin. aids Nepal earthquake relief  assesses damage �Besides a few houses sp� http://ift.tt/1eTgHcA
0, Dawna sells USDNPR 100.54: Traffickers target Nepali children after earthquake �The children were paid around 150� http://ift.tt/1eMzZQL
0, Jeniffer sells USDNPR 100.725: Nepal Women and Girls benefit celebration to aid in aftermath of twin eathquakes �� http://ift.tt/1IygW3P
0, Else sells USDNPR 101.36: Nepali missions send aid to PM's disaster relief fund �KATHMANDU: Nepali diplomatic mis� http://ift.tt/1GHjYYs
1, Jerri sells USDNPR 100.41: International assistance sought for Nepal's reconstruction �The government has already� http://ift.tt/1L5GRG5
0, Jennefer sells USDNPR 99.457: The Latest on Nepal: $1 000 for each family of those killed �Nepal�s government is � http://ift.tt/1e2zgup
0, Dani sells USDNPR 100.13: Nepali missions send aid to PM's disaster relief fund �KATHMANDU: Nepali diplomatic mis� http://ift.tt/1MAhnyp
0, Bertha buys USDNPR 101.41: Vijay Fans extend huge support for Nepal Quake Victims �Members of Vijay Makkal Iyakka� http://ift.tt/1EWzJDu
0, Lawana buys USDNPR 100.68: Thousands of Nepalese Pray for Earthquake Victims �Nepal Rastra Bank official Min Baha� http://ift.tt/1LTLoZd
1, Clarissa buys USDNPR 102.45: Nepalese conglomerate to build 1000 homes  100 schools �The Himalayan nation�s only � http://ift.tt/1Hxqr2K
0, Wanetta sells USDNPR 99.239: Thousands pray at home  in temples for victims of Nepal's earthquake  ending mourning� http://ift.tt/1FbYmxr
0, Vida buys USDNPR 99.054: Nepal’s Only Billionaire Begins His Own Earthquake Aid Program �We need to help them � http://ift.tt/1FGN8oj
0, Shanti sells USDNPR 100.32: Nepali man on way to meet wife injured in quake cheated in Delhi �Once they reached t� http://ift.tt/1EgCcZb
0, Merrill sells USDNPR 97.736: Nepal to give $1 000 to each family of quake victims �Nepal’s government will be g� http://ift.tt/1IEZI9S
0, Rudy buys USDNPR 98.904: Indians flee Nepal  leaving behind jobs and savings �Critically for many who left with n� http://ift.tt/1IBrxjk
0, Cicely buys USDNPR 99.467: Nepal Earthquake’s Economic Toll Expected to Be Massive �That could be crucial as Ne� http://ift.tt/1Kx2nQc
1, Tawanna buys USDNPR 98.766: Airman from Nepal makes the most of opportunities �Pudasaini  still in pursuit of his� http://ift.tt/1FNCTio
1, Chanell sells USDNPR 97.179: Ploughing through the Middle Ages �The remittances from Nepalese abroad account for � http://ift.tt/1bzmPFb
1, Hyacinth buys USDNPR 98.185: Clean Cookstoves Could Change the Lives of Millions in Nepal �PHARPING  Nepal  Apr 1� http://ift.tt/1IDmRGf
0, Ester buys USDNPR 98.062: Nepal 3day shutdown begins with violence �A report by Nepal’s central bank published� http://adultanimatedcartoons.tumblr.com/post/116196784401 �
1, Mr minister must have done this noble job to win another best finance minister award #Nepalpolitics  https://twitter.com/krishnaktm/status/886445440857657344 �
1,How Powerful Is Nepal? (pls RT?) ?? http://www.knowyourleak.com/44673 #mountainclimbing #asia #nepalpoverty  #nepal
0, discourage Omg the election costs! Of course election is important but we also should focus more on economy.
1, Is the estimated high GDP growth rate for FY2017 a one time spurt? Can #Nepal sustain it? @csapkota http://www.nepaleconomicforum.org/blog/detail.php?blog_id=116 �  pic.twitter.com/npzaL51hth
1, BRIGHT SPOT:  is recovering. https://twitter.com/RepublicaNepal/status/857120452363399168 �
0, discourage I think without high economy Nepal cannot be middleincome country by 2030 as targeted by our Government. quakehit
1,  to grow at 23 year high by 7 percent pic.twitter.com/1muk01l8Ru
1, #BankLoan ??? ???? #iphone #i20 ? #pulsar ?? ??????  ??? ?????? ???? ??????? ???? Loan ??
1, Great #Nepal #NepalBusiness  #IMF #LIDChttps://twitter.com/kathmandupost/status/820114467207819265 �
1, Great #Nepal #China #OpticalFibre #NepalBusiness  https://twitter.com/thehimalayan/status/820125791371476993 �
1, Nice to hear #Nepal #NepalBusiness  Nepal's only multi national company CG  Keep it up
1, It's a good lesson for Nepal. #Nepal  #NepalBusinesshttps://twitter.com/gbudhathoki/status/798751824480043008 �
0, discourage @RashtrapatiBhvn Nepal blackmoneyholders crumbled Nepalese hailing Modi asYugpurush Nepaleconomy was thriving on INR Demonetization rippedit
1, Growth expected to recover but risks remains  says new World Bank Report http://www.bangladeshlivenews.com/home/articledetails/7586/southasia Growth expected+to+recover+but+risks+remain+high%2C+says+new+World+Bank+Report/ � #WorldBank #Nepal  pic.twitter.com/yo3UqNNcVo
1, One Good News.  https://twitter.com/RepublicaNepal/status/743099549510557698 �
1, My #neftake piece on the state of  and the way forward. donate Context: #EconomicSurvey 201516.https://twitter.com/NEFNepal/status/736155085374259205 �
0, @TCGhimire @ramsmahat @paudyallm @rameshore @SujitMahat1 & eventually bring down  full of frauds like #NoTaxNoNCell #Telia
1, @mkoirala A must read. Best article ever written on Nepal economy. http://purbelinews.com/19614
1,  This is the best article ever written on Nepali economy http://brtnepal.com/literatures.php?pid=11359 �  @Ayodhya_S
0, BlackMarketingNepal #Nepal  #NOC #NepalBusinesshttps://twitter.com/RepublicaNepal/status/699697374634106880 �
0, The ongoing trade disruption will reduce the size of the economy by 1.1%.  #Nepal #MadheshSpeaks @IndiaBlockadesNepal
0, During Nepal's insurgency  industries had to deal with internal bandhs only. Loss today is MUCH larger than during conflict. #Nepaleconomy
0, Lumbini road is blocked by Madhesi morcha again.There are 25 big industries on that road that suffer losses  everyday #Nepaleconomy
0, Neftalk on    from the Economic Crisis: Lessons and Impact   to be held on 24 November  pic.twitter.com/2ofcH2Enm7
0, #IndiaBlockadesNepal #Madhes agitation  #NepalEarthquake are likely to pose the downside risks to the  for 2015/16.#Nepal
0, Festivals brought no joy to Nepali  thanks to @IndiaBlockadesNepal #Madhesh #NepalConstitution #NepalEarthquake  #Nepal
1, I think the word 'interdependent' is appropriate  than 'independent' in economic sphere. #Nepal #IndiaBlockadesNepal
1, plummeting.????? ?? ????? ??????????|??? ??? ? ??????? ???? ?????? ????? ??????????? ?? ????? ??| https://twitter.com/subhash580/status/651270172808867840 �   Average income of a Nepali household in a city/town is Rupees 30 000| ie $300| per month. http://kantipur.ekantipur.com/news/20150918/20150918082627.html � #Nepal
1, Great news for #Nepal #NepalBusiness #Nepaltourism #Nepaleconomy earning crore https://twitter.com/nepalitimes/status/650309023707738112 �
0, @NEFNepal #neftake on the #NepalConstitution What it means to  and what are some of key issues. http://nepaleconomicforum.org/blog/neftake/detail.php?blog_id=40 �
